Transaction_ID,Date,Customer_Name,Email,Phone_Number,Address,Credit_Card,Category,Amount,Payment_Method
TXN-10000,2025-02-14,Daniel Martinez,daniel.martinez2@yahoo.com,555-301-1770,"58 Park Ave, New York, USA",4630-2396-8835-2845,Fashion,649.84,PayPal
TXN-10001,2025-02-18,Laura Williams,laura.williams61@yahoo.com,555-386-6313,"708 Pine St, Phoenix, USA",4753-2128-5212-5299,Automotive,1319.11,PayPal
TXN-10002,2025-05-17,David Rodriguez,david.rodriguez34@gmail.com,555-967-5281,"202 Cedar Dr, Phoenix, USA",4076-9419-6043-3503,Home & Garden,845.09,PayPal
TXN-10003,2025-08-31,David Davis,david.davis85@yahoo.com,555-972-9934,"196 Pine St, Houston, USA",4213-7614-5914-1045,Sports,1374.09,PayPal
TXN-10004,2025-03-02,Robert Miller,robert.miller36@company.net,555-776-6038,"399 Main St, Houston, USA",4059-1495-5920-6878,Fashion,468.96,Debit Card
TXN-10005,2025-07-11,Laura Rodriguez,laura.rodriguez6@gmail.com,555-769-8218,"344 Broadway, New York, USA",4707-8032-2273-5013,Toys & Games,1172.93,Bank Transfer
TXN-10006,2025-08-15,John Jones,john.jones49@gmail.com,555-592-9605,"77 Main St, Phoenix, USA",4939-8818-6415-8849,Electronics,1445.76,Credit Card
TXN-10007,2025-12-06,John Miller,john.miller47@company.net,555-730-1845,"749 Pine St, New York, USA",4364-6549-5796-1181,Home & Garden,1451.03,Bank Transfer
TXN-10008,2025-10-24,Linda Miller,linda.miller14@gmail.com,555-210-6319,"127 Pine St, Chicago, USA",4782-5443-2833-7932,Books,1311.59,Bank Transfer
TXN-10009,2025-04-03,John Brown,john.brown89@company.net,555-711-7823,"330 Park Ave, New York, USA",4745-6734-3559-7559,Automotive,1284.55,PayPal
TXN-10010,2025-03-22,Jane Johnson,jane.johnson52@company.net,555-916-1858,"607 Broadway, Houston, USA",4782-4503-5285-1107,Fashion,738.6,Debit Card
TXN-10011,2025-05-28,Robert Miller,robert.miller31@hotmail.com,555-665-8993,"416 Cedar Dr, Chicago, USA",4903-7672-5468-3791,Fashion,1386.77,PayPal
TXN-10012,2025-02-26,Emily Rodriguez,emily.rodriguez7@hotmail.com,555-452-1391,"409 Broadway, Phoenix, USA",4824-4431-1742-3354,Toys & Games,144.54,Debit Card
TXN-10013,2025-03-29,Jane Miller,jane.miller12@yahoo.com,555-956-6381,"900 Pine St, Los Angeles, USA",4240-3727-7421-1498,Home & Garden,1222.13,Bank Transfer
TXN-10014,2025-03-07,Linda Jones,linda.jones16@gmail.com,555-481-6222,"450 Park Ave, Chicago, USA",4254-4299-6543-4254,Books,487.2,Credit Card
TXN-10015,2025-05-10,Daniel Martinez,daniel.martinez12@company.net,555-187-2132,"366 Pine St, Houston, USA",4927-2443-9598-6777,Home & Garden,68.15,Credit Card
TXN-10016,2025-06-15,Robert Miller,robert.miller5@yahoo.com,555-134-6524,"376 Broadway, Phoenix, USA",4470-8141-3530-6158,Toys & Games,1085.57,PayPal
TXN-10017,2025-06-10,Michael Johnson,michael.johnson36@yahoo.com,555-527-3842,"179 Pine St, Los Angeles, USA",4568-9850-4126-2711,Books,1217.47,Credit Card
TXN-10018,2025-03-15,Emily Miller,emily.miller65@yahoo.com,555-662-6652,"842 Main St, Houston, USA",4212-8248-3899-4840,Electronics,876.37,Credit Card
TXN-10019,2025-06-24,David Miller,david.miller53@yahoo.com,555-404-8184,"204 Park Ave, Phoenix, USA",4054-5232-6992-3898,Books,252.97,Bank Transfer
TXN-10020,2025-05-14,David Johnson,david.johnson62@yahoo.com,555-999-5629,"806 Pine St, Phoenix, USA",4962-5309-5605-5564,Books,680.65,Debit Card
TXN-10021,2025-11-04,Jane Williams,jane.williams97@gmail.com,555-840-9782,"117 Main St, Los Angeles, USA",4992-6690-3156-8138,Sports,1119.86,Debit Card
