Transaction_ID,Date,Customer_ID,Customer_Name,Email,Phone_Number,Address,City,Country,Credit_Card,Category,Amount,Payment_Method
TXN-10000,2025-02-14,CUST-9754,Robert Miller,robert.miller92@gmail.com,555-289-6337,601 Park Ave,Los Angeles,USA,4951-1803-5866-3915,Books,794.42,Debit Card
TXN-10001,2025-10-11,CUST-2787,Robert Miller,robert.miller28@yahoo.com,555-822-2404,791 Oak Ln,Los Angeles,USA,4634-4451-7014-4935,Automotive,320.37,Credit Card
TXN-10002,2025-12-13,CUST-7204,David Brown,david.brown48@hotmail.com,555-890-6797,679 Pine St,Phoenix,USA,4738-7212-8187-8998,Automotive,639.94,Bank Transfer
TXN-10003,2025-10-03,CUST-3896,Sarah Miller,sarah.miller10@hotmail.com,555-325-5618,644 Main St,Phoenix,USA,4993-7487-1578-3352,Automotive,535.7,Debit Card
TXN-10004,2025-05-04,CUST-9754,Robert Miller,robert.miller92@gmail.com,555-289-6337,601 Park Ave,Los Angeles,USA,4951-1803-5866-3915,Fashion,343.28,Debit Card
TXN-10005,2025-02-15,CUST-6270,Linda Smith,linda.smith34@hotmail.com,555-810-2595,258 Broadway,New York,USA,4420-7055-5426-4578,Fashion,524.53,Debit Card
TXN-10006,2025-07-12,CUST-5427,Sarah Rodriguez,sarah.rodriguez61@hotmail.com,555-498-8736,155 Cedar Dr,Los Angeles,USA,4811-9841-3531-9520,Sports,562.93,PayPal
TXN-10007,2025-06-26,CUST-6820,Robert Rodriguez,robert.rodriguez41@yahoo.com,555-816-7792,80 Pine St,Phoenix,USA,4398-6429-3060-7926,Books,932.53,Bank Transfer
TXN-10008,2025-01-30,CUST-8086,Sarah Williams,sarah.williams26@hotmail.com,555-473-5644,82 Broadway,New York,USA,4709-8390-6661-7160,Home & Garden,1495.02,Bank Transfer
TXN-10009,2025-05-19,CUST-8403,John Davis,john.davis29@company.net,555-781-2040,363 Main St,Houston,USA,4032-9303-8233-2239,Toys & Games,1019.31,PayPal
TXN-10010,2025-01-29,CUST-9754,Robert Miller,robert.miller92@gmail.com,555-289-6337,601 Park Ave,Los Angeles,USA,4951-1803-5866-3915,Automotive,465.11,Debit Card
TXN-10011,2025-07-18,CUST-8086,Sarah Williams,sarah.williams26@hotmail.com,555-473-5644,82 Broadway,New York,USA,4709-8390-6661-7160,Fashion,294.55,Bank Transfer
TXN-10012,2025-07-01,CUST-2004,Sarah Martinez,sarah.martinez81@hotmail.com,555-353-4570,642 Broadway,Chicago,USA,4942-3108-1414-6373,Toys & Games,1471.97,Debit Card
TXN-10013,2025-06-08,CUST-7876,John Williams,john.williams64@yahoo.com,555-391-8231,15 Cedar Dr,Chicago,USA,4245-6101-3294-7226,Sports,273.46,Bank Transfer
TXN-10014,2025-12-26,CUST-8403,John Davis,john.davis29@company.net,555-781-2040,363 Main St,Houston,USA,4032-9303-8233-2239,Automotive,936.66,Debit Card
TXN-10015,2025-06-09,CUST-9374,Michael Brown,michael.brown42@yahoo.com,555-489-5237,810 Park Ave,Phoenix,USA,4487-4633-2446-8343,Sports,1017.84,Bank Transfer
TXN-10016,2025-03-15,CUST-9930,Linda Garcia,linda.garcia41@company.net,555-181-4478,346 Park Ave,New York,USA,4152-2680-6345-2270,Electronics,941.33,Credit Card
TXN-10017,2025-07-01,CUST-4918,Laura Johnson,laura.johnson50@yahoo.com,555-835-1313,322 Oak Ln,New York,USA,4143-9439-8179-7834,Home & Garden,1051.02,PayPal
TXN-10018,2025-03-04,CUST-2422,Sarah Smith,sarah.smith67@company.net,555-804-6929,765 Broadway,Los Angeles,USA,4670-7912-2994-8789,Books,138.69,Debit Card
TXN-10019,2025-05-17,CUST-8521,Laura Brown,laura.brown49@yahoo.com,555-138-2498,64 Oak Ln,New York,USA,4607-4650-7562-2638,Automotive,1298.13,Bank Transfer
TXN-10020,2025-01-01,CUST-8565,Laura Martinez,laura.martinez27@gmail.com,555-778-1882,60 Oak Ln,Houston,USA,4304-8076-8745-8044,Home & Garden,224.79,Credit Card
TXN-10021,2025-03-24,CUST-9765,Jane Rodriguez,jane.rodriguez40@yahoo.com,555-857-8064,187 Main St,Phoenix,USA,4122-9372-8129-5747,Sports,343.24,Bank Transfer
TXN-10022,2025-10-01,CUST-4918,Laura Johnson,laura.johnson50@yahoo.com,555-835-1313,322 Oak Ln,New York,USA,4143-9439-8179-7834,Automotive,1445.34,Credit Card
TXN-10023,2025-04-15,CUST-3896,Sarah Miller,sarah.miller10@hotmail.com,555-325-5618,644 Main St,Phoenix,USA,4993-7487-1578-3352,Automotive,437.66,PayPal
TXN-10024,2025-01-14,CUST-1743,Daniel Smith,daniel.smith89@yahoo.com,555-322-9664,568 Park Ave,Phoenix,USA,4522-3619-6527-2579,Automotive,1153.57,PayPal
TXN-10025,2025-09-28,CUST-1144,Linda Martinez,linda.martinez35@gmail.com,555-213-4558,148 Cedar Dr,Phoenix,USA,4976-9007-5317-5087,Automotive,1113.28,Credit Card
TXN-10026,2025-03-20,CUST-7751,Emily Brown,emily.brown18@company.net,555-825-4937,617 Pine St,New York,USA,4015-8086-5608-7176,Fashion,700.32,Debit Card
TXN-10027,2025-11-19,CUST-8521,Laura Brown,laura.brown49@yahoo.com,555-138-2498,64 Oak Ln,New York,USA,4607-4650-7562-2638,Sports,1259.99,Credit Card
TXN-10028,2025-03-11,CUST-5427,Sarah Rodriguez,sarah.rodriguez61@hotmail.com,555-498-8736,155 Cedar Dr,Los Angeles,USA,4811-9841-3531-9520,Automotive,1479.23,Debit Card
TXN-10029,2025-05-27,CUST-3930,Sarah Brown,sarah.brown75@gmail.com,555-635-5747,334 Cedar Dr,New York,USA,4292-3524-8896-7183,Electronics,1113.47,Credit Card
TXN-10030,2025-12-23,CUST-4122,Laura Williams,laura.williams62@gmail.com,555-473-2799,421 Park Ave,Houston,USA,4775-6804-1347-9243,Electronics,1303.76,Credit Card
TXN-10031,2025-04-26,CUST-4918,Laura Johnson,laura.johnson50@yahoo.com,555-835-1313,322 Oak Ln,New York,USA,4143-9439-8179-7834,Electronics,945.94,Credit Card
TXN-10032,2025-12-22,CUST-6270,Linda Smith,linda.smith34@hotmail.com,555-810-2595,258 Broadway,New York,USA,4420-7055-5426-4578,Automotive,1019.13,PayPal
TXN-10033,2025-01-02,CUST-2004,Sarah Martinez,sarah.martinez81@hotmail.com,555-353-4570,642 Broadway,Chicago,USA,4942-3108-1414-6373,Fashion,1316.94,PayPal
TXN-10034,2025-02-26,CUST-2787,Robert Miller,robert.miller28@yahoo.com,555-822-2404,791 Oak Ln,Los Angeles,USA,4634-4451-7014-4935,Toys & Games,1262.2,PayPal
TXN-10035,2025-10-15,CUST-8253,Jane Garcia,jane.garcia51@yahoo.com,555-722-4597,599 Oak Ln,Chicago,USA,4670-1453-2624-9125,Automotive,918.17,Bank Transfer
TXN-10036,2025-05-11,CUST-8253,Jane Garcia,jane.garcia51@yahoo.com,555-722-4597,599 Oak Ln,Chicago,USA,4670-1453-2624-9125,Home & Garden,1329.87,Credit Card
TXN-10037,2025-10-26,CUST-5427,Sarah Rodriguez,sarah.rodriguez61@hotmail.com,555-498-8736,155 Cedar Dr,Los Angeles,USA,4811-9841-3531-9520,Books,753.86,Credit Card
TXN-10038,2025-11-30,CUST-9765,Jane Rodriguez,jane.rodriguez40@yahoo.com,555-857-8064,187 Main St,Phoenix,USA,4122-9372-8129-5747,Home & Garden,294.9,Bank Transfer
TXN-10039,2025-06-23,CUST-4904,Robert Miller,robert.miller85@yahoo.com,555-864-4570,746 Park Ave,New York,USA,4336-9934-7732-4099,Books,940.32,Bank Transfer
TXN-10040,2025-05-14,CUST-2537,Daniel Rodriguez,daniel.rodriguez24@gmail.com,555-212-8429,327 Main St,Los Angeles,USA,4547-3760-9465-8117,Automotive,718.39,Credit Card
TXN-10041,2025-12-02,CUST-5857,Linda Johnson,linda.johnson10@hotmail.com,555-850-3694,90 Broadway,Chicago,USA,4518-2107-7973-7741,Sports,1088.77,PayPal
TXN-10042,2025-03-27,CUST-2537,Daniel Rodriguez,daniel.rodriguez24@gmail.com,555-212-8429,327 Main St,Los Angeles,USA,4547-3760-9465-8117,Home & Garden,967.37,Debit Card
TXN-10043,2025-04-18,CUST-3930,Sarah Brown,sarah.brown75@gmail.com,555-635-5747,334 Cedar Dr,New York,USA,4292-3524-8896-7183,Fashion,820.84,Debit Card
TXN-10044,2025-11-19,CUST-2379,Linda Miller,linda.miller67@gmail.com,555-385-4637,999 Park Ave,New York,USA,4474-4987-6928-3146,Books,1270.6,Bank Transfer
